osm_type,osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,diet:gluten_free,diet:vegan,diet:vegetarian,email,name,opening_hours,organic,phone,website,wheelchair,cuisine,bar,brewery,indoor_seating,outdoor_seating,smoking,source,source:date,takeaway,toilets:wheelchair,addr:country,air_conditioning,contact:email,contact:phone,contact:website,opening_hours:kitchen,url,diet:halal,contact:facebook,contact:instagram,check_date,check_date:opening_hours,old_name,created_by,description,tourism,note,internet_access,brand,brand:wikidata,diet:meat,wikidata,wikipedia,opening_hours:signed,internet_access:fee,reservation,operator,official_name,atmotorway,branch,brand:website,operator:wikidata,wifi:operator,alt_name,delivery,name:zh,contact:fax,sport,source:addr,source:addr:date,name:prefix,payment:cards,payment:contactless,website:menu,diet:kosher,diet:lactose_free,diet:pescetarian,changing_table,smoking:outside,wheelchair:description,level,source:opening_hours,brand:wikipedia,wikimedia_commons,image,instagram,short_name,payment:cash,payment:credit_cards,payment:debit_cards,price,shop,facebook,access,payment:coins,payment:notes,indoor,kids_area:outdoor,toilets,toilets:access,twitter,contact:twitter,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,survey:date,fair_trade,identity,interaction,provides,breakfast,dinner,lunch,payment:maestro,strapline,fax,operator:website,historic,internet_access:ssid,stars,toilets:fee,toilets:handwashing,toilets:unisex,check_date:diet:vegan,old_name_1,old_name_2,name:en,name:nl,addr:housename,contact:mobile,payment:apple_pay,payment:google_pay,rooms,payment:mastercard,payment:visa,capacity,changing_table:adult,entrance:step_count,entrance:width,wheelchair:turning_circle,terrace,layer,name:it,self_service,opening_hours:url,drive_through,check_date:currency:XBT,drink:tea,microbrewery,construction,closed:amenity,not:brand:wikidata,atm,airconditioned,historic:amenity,historic:name,leisure,name:suffix,diet:non-vegetarian,food,contact:tripadvisor,ref:gers,disused:amenity,entrance,location,int_name,fixme,drink:beer,check_date:diet:vegetarian,menu,mobile,dog,start_date,fast_food,addr:suburb,contact:whatsapp,toilets:disposal,toilets:gender_segregated,kitchen,name:de,ref:bag,camp_site,changing_table:count,changing_table:location,old_website,website:note,highchair,man_made,surveillance,check_date:existence,opening_hours:takeaway,toilets:menstrual_products,mapillary,drink:club-mate,payment:girocard,name:ko,brand:email,ref,lgbtq,changing_table:fee,wheelchair:description:nl,source_ref,toilets:position,addr:floor,payment:cash:EUR,payment:pin,diet:mediterranean,full_name,website:booking,website:en,website:nl,name:ja,kids_area,kids_area:fee,kids_area:indoor,name:fr,lactose_free,vegetarian,happycow:id,open,payment:qr_code,service:electricity,name:source,roof:shape,restaurant,internet_access:password,opening_date,note:nl,beer,yelp,delivery:covid19,takeaway:covid19,diet:omnivore,all_you_can_eat,check_date:smoking,craft,changing_table:note,wifi,elevator,source:capacity,seats,old_name2,ice_cream,drink:coffee,drink:espresso,swimming_pool,diet:organic,addr:province,drive_in,phone:contact,start_date:amenity,abandoned,reservation:website,opening_hours:delivery,operator:phone,name:yue,heritage,heritage:operator,name:es,check_date:toilets:wheelchair,name:pt,diet:fish,toilets:changing_table,clothes,ref:kvk,payment:account_cards,payment:american_express,website:orders,website:contact,currency:EUR,opening_hours:phone,lastcheck,amenity_1,emergency,restaurant:type:nl,payment:cryptocurrencies,construction:amenity,delivery:partner,payment:v_pay,payment:visa_debit,payment:card,hotel,guest_house,drink:wine,ref:vatin,beverages,social_facility,contact:linkedin,contact:youtube,removed:addr:housenumber,removed:addr:street,designation,cat,phone:mobile,payment:electronic_purses,playground,weather_protection,loc_name,source:name,name:etymology,name:etymology:wikidata,ele,disused:shop,addr:number,note:en,diet:fresh,club,seamark:small_craft_facility:category,seamark:type,sport:boating,long_name,diet:dairy_free,contact:restaurantguru,kids_area:supervised,network,owner,internet_access:type,live_music,service_times,addr:unit,payment:iDeal,disused:tourism,disused:website,artist_name,ref:rce,source:amenity,opening_hours:dinner,award:michelin,fee,parking,old_name:de,toilets:female,toilets:male,second_hand,payment:bancomat,panoramax,telecom,contact:city,pets,disused:name,name:fy,diet:egg_free,diet:nut_free,diet:seafood,diet:sugar_free,beds,boat:rental,closed:name,seasonal,old_name3,short_name:zh,name:ar,alt_name:zh,name:am,name:-2022,diet:non-halal,hema:id,speciality,regional,name:1988-1990,name:1990-2001,name:2001-2007,name:2007-2016,name:2016-2023,building:colour,building:levels,addr:place,name:zh-Hans,loc_ref,cafe,winery,dress_code,name:vi,note:covid19,buffet,payment:visa_electron,amenity_2,amenity_3,power_supply,source:addr:postcode,name:signed,payment:cheque,website:menu:en,diet:healthy,payment:app,stroller,cash_withdrawal:type,building:floor,airside,name:tr,check:date,caravans,tents,room,reusable_packaging:accept,operator:wikipedia,wheelchair:description:en,diet:local,min_age,diet:chicken,diet:pork,building,OnroerendErfgoed:criteria,heritage:website,inscription,ref:OnroerendErfgoed,source:geometry:date,source:geometry:ref,roof:levels,note:BAG,floating,height,material,source:height,nudism,building:material,roof:colour,contact:tiktok,name_2,fenced,building:part,roof:height,roof:material,internet_access:downlink,type
node,2738469063,De Peer,Breda,172,4839AD,Oude Liesboslaan,restaurant,,,,,De Peer,,,,,,,,,,,,BAG,2014-02-11,,,,,,+31 76 520 0566,https://www.depeer.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3066862899,Barrevoets,Leeuwarden,41,8911DL,Kleine Kerkstraat,restaurant,,,,,Barrevoets,,,,,,,,,,,,BAG,2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2740170440,Uit de buurt,Groningen,30,9722AD,Verlengde Hereweg,restaurant,,,,,Uit de buurt,,,,,,,,,,,,BAG,2014-03-24,no,,,,,,https://www.uitdebuurt.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2675024591,Krish Rotiwinkel,Amersfoort,4,3822BT,Aristotelesstraat,restaurant,,,,,Krish Rotiwinkel,,,,,,surinamese,,,,,,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2731447043,Enjoy Vietnam,Breda,10,4811XB,Reigerstraat,restaurant,,,,,Enjoy Vietnam,,,,https://www.enjoyvietnam.nl/,yes,vietnamese,,,,,,BAG,2014-02-11,,yes,,,,+31 76 781 2345,,,,,https://www.facebook.com/Enjoy-Vietnam-1582592621759415/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2807324688,Davila's Kitchen & Bar,Renesse,185,4325BH,Hogezoom,restaurant,,,,,Davila's Kitchen & Bar,,,,,,,,,,,,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1772982707,Trix,,,,,restaurant,,,,,Trix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2726128130,Mondial Fish,Utrecht,88,3527HB,Van Starkenborghhof,restaurant,,,,,Mondial Fish,,,,,yes,seafood,,,,,,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2927942917,De Graaf van Horne,Horn,16,6085AC,Rijksweg,restaurant,,,,,De Graaf van Horne,,,+31 475 581 221,https://www.degraafvanhorne.nl,,,,,,,,BAG,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,471603560,Lai Thai,,,,,restaurant,,,,,Lai Thai,,,,,,thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
